
2015年MUGEN CUP越野車公開賽
Race Results for A Final: Round:5 1：8 油越
Position 	Car # 	Name 	Laps 	Time 	Fastest
Lap 	Average
Lap
1 	1 	小平 	133 	1h00m17.616 	25.461 	27.200
2 	3 	文一 	130 	1h00m21.658 	25.122 	27.859
3 	2 	NELSON WOO 	128 	1h00m15.419 	25.706 	28.245
4 	8 	李聰 	128 	1h00m15.581 	25.554 	28.247
5 	4 	TQ強 	127 	1h00m12.271 	26.088 	28.443
6 	7 	Carson Yeung 	125 	1h00m02.779 	26.392 	28.822
7 	5 	黃聖傑 	122 	57m52.429 	25.355 	28.463
8 	9 	劉聰 	121 	1h00m05.399 	25.801 	29.797
9 	10 	郭耀威 	120 	1h00m23.814 	26.037 	30.198
10 	6 	林樂樺 	92 	43m12.775 	26.146 	28.182

Race Laptimes Lap 	Car 1 	Car 2 	Car 3 	Car 4 	Car 5 	Car 6 	Car 7 	Car 8 	Car 9 	Car 10
65	28.116	25.835	25.408	26.651	27.201	33.833	29.408	26.124	41.945	29.722
66	33.521	33.574	26.672	27.233	28.257	26.540	27.484	29.319	29.276	30.242
67	27.185	27.189	26.810	26.270	26.892	32.558	35.383	30.111	29.053	27.027
68	26.213	26.990	25.846	26.330	26.688	28.684	27.978	28.133	27.494	37.507
69	26.928	28.368	27.630	27.119	26.642	27.016	27.463	28.288	29.594	34.537
70	27.381	27.326	29.731	26.704	26.823	26.390	27.510	28.771	28.559	29.541
71	27.361	28.461	27.305	26.299	26.012	27.049	28.534	27.448	28.360	29.021
72	26.495	26.790	26.145	26.994	27.225	27.141	26.922	33.968	26.616	27.236
73	26.338	26.312	25.604	34.845	36.195	26.616	27.779	26.103	26.369	34.460
74	26.166	29.126	27.022	26.428	29.000	26.263	26.889	30.402	26.127	26.613
75	25.979	28.670	27.687	26.256	27.222	26.492	31.199	26.450	31.734	37.366
76	26.477	26.305	28.849	26.421	27.794	26.679	27.003	27.279	26.021	27.142
77	27.042	27.275	32.484	26.851	26.512	26.848	28.376	26.519	35.176	43.960
78	26.849	31.959	32.101	26.947	27.261	26.787	28.091	26.663	42.578	28.235
79	25.929	27.208	27.057	26.360	27.071	26.463	29.134	56.556	32.572	29.712
80	27.463	26.921	26.611	26.520	40.183	27.487	29.528	28.336	29.389	32.228
